地区,时间,天气,温度,风向,风级
北京,08日08时,晴,23℃,西北风,<3级
北京,08日11时,晴,27℃,西北风,<3级
北京,08日14时,多云,29℃,西北风,<3级
北京,08日17时,晴,28℃,西北风,<3级
北京,08日20时,晴,25℃,西北风,<3级
北京,08日23时,晴,22℃,北风,<3级
北京,09日02时,晴,19℃,北风,<3级
北京,09日05时,晴,19℃,北风,<3级
北京,09日08时,晴,23℃,北风,<3级
北京,09日11时,晴,26℃,北风,3-4级
北京,09日14时,晴,29℃,北风,<3级
北京,09日17时,晴,29℃,北风,<3级
北京,09日20时,晴,22℃,北风,<3级
北京,09日23时,晴,20℃,北风,<3级
北京,10日02时,晴,19℃,北风,3-4级
北京,10日05时,晴,19℃,北风,<3级
北京,10日08时,晴,20℃,北风,3-4级
北京,10日11时,多云,24℃,北风,3-4级
北京,10日14时,多云,26℃,北风,<3级
北京,10日17时,多云,22℃,北风,<3级
北京,10日20时,多云,22℃,北风,<3级
北京,10日23时,多云,20℃,北风,3-4级
北京,11日02时,多云,19℃,北风,3-4级
北京,11日05时,晴,18℃,北风,3-4级
北京,11日08时,多云,22℃,北风,3-4级
北京,11日14时,晴,25℃,东北风,<3级
北京,11日20时,晴,20℃,东北风,<3级
北京,12日02时,多云,18℃,北风,<3级
北京,12日08时,多云,19℃,北风,<3级
北京,12日14时,多云,26℃,北风,<3级
北京,12日20时,多云,22℃,北风,<3级
北京,13日02时,多云,19℃,东北风,<3级
北京,13日08时,晴,20℃,东北风,<3级
北京,13日14时,晴,26℃,东南风,<3级
北京,13日20时,晴,23℃,东南风,<3级
北京,14日02时,阴,20℃,东南风,<3级
北京,14日08时,阴,20℃,东南风,<3级
北京,14日14时,小雨,26℃,东南风,<3级
北京,14日20时,小雨,21℃,东南风,<3级
北京,15日02时,中雨,20℃,东北风,<3级
上海,08日08时,晴,28℃,南风,<3级
上海,08日11时,晴,34℃,南风,<3级
上海,08日14时,晴,35℃,南风,<3级
上海,08日17时,晴,33℃,南风,3-4级
上海,08日20时,晴,29℃,南风,3-4级
上海,08日23时,晴,26℃,南风,3-4级
上海,09日02时,多云,25℃,南风,<3级
上海,09日05时,晴,24℃,南风,<3级
上海,09日08时,多云,27℃,南风,<3级
上海,09日11时,阴,32℃,南风,<3级
上海,09日14时,阴,33℃,南风,<3级
上海,09日17时,阴,32℃,南风,<3级
上海,09日20时,阴,27℃,南风,<3级
上海,09日23时,阴,26℃,东北风,<3级
上海,10日02时,阴,25℃,东北风,<3级
上海,10日05时,阴,24℃,东北风,<3级
上海,10日08时,阴,25℃,东北风,<3级
上海,10日11时,阴,28℃,东风,<3级
上海,10日14时,阴,30℃,东风,<3级
上海,10日17时,阴,28℃,东风,<3级
上海,10日20时,阴,25℃,东风,<3级
上海,10日23时,多云,25℃,东南风,<3级
上海,11日02时,阴,24℃,东南风,<3级
上海,11日05时,晴,23℃,东南风,<3级
上海,11日08时,中雨,27℃,东南风,<3级
上海,11日14时,多云,27℃,东南风,<3级
上海,11日20时,晴,24℃,东南风,<3级
上海,12日02时,晴,23℃,东风,<3级
上海,12日08时,多云,23℃,东风,<3级
上海,12日14时,阴,27℃,东南风,<3级
上海,12日20时,阴,25℃,东南风,<3级
上海,13日02时,阴,23℃,东风,<3级
上海,13日08时,阴,24℃,东风,<3级
上海,13日14时,多云,28℃,东风,3-4级
上海,13日20时,多云,25℃,东风,3-4级
上海,14日02时,多云,23℃,东风,<3级
上海,14日08时,多云,25℃,东风,3-4级
上海,14日14时,阴,28℃,东风,4-5级
上海,14日20时,阴,25℃,东风,3-4级
上海,15日02时,阴,24℃,东风,3-4级
天津,08日08时,晴,24℃,西北风,<3级
天津,08日11时,晴,30℃,西北风,3-4级
天津,08日14时,晴,30℃,西北风,3-4级
天津,08日17时,晴,29℃,西北风,<3级
天津,08日20时,晴,26℃,西北风,<3级
天津,08日23时,晴,24℃,西北风,<3级
天津,09日02时,晴,23℃,西北风,<3级
天津,09日05时,晴,22℃,西北风,<3级
天津,09日08时,晴,24℃,西北风,<3级
天津,09日11时,晴,28℃,北风,3-4级
天津,09日14时,晴,29℃,北风,<3级
天津,09日17时,晴,28℃,北风,<3级
天津,09日20时,晴,25℃,北风,<3级
天津,09日23时,晴,24℃,北风,<3级
天津,10日02时,晴,23℃,北风,<3级
天津,10日05时,晴,21℃,北风,3-4级
天津,10日08时,晴,22℃,北风,3-4级
天津,10日11时,阴,25℃,北风,3-4级
天津,10日14时,阴,27℃,北风,3-4级
天津,10日17时,阴,24℃,北风,<3级
天津,10日20时,阴,24℃,北风,<3级
天津,10日23时,阴,22℃,北风,3-4级
天津,11日02时,阴,21℃,北风,3-4级
天津,11日05时,阴,20℃,北风,3-4级
天津,11日08时,阴,24℃,北风,3-4级
天津,11日14时,多云,26℃,东北风,3-4级
天津,11日20时,多云,25℃,东北风,3-4级
天津,12日02时,多云,20℃,东北风,3-4级
天津,12日08时,多云,22℃,东北风,3-4级
天津,12日14时,阴,24℃,东北风,3-4级
天津,12日20时,阴,22℃,东北风,3-4级
天津,13日02时,阴,19℃,东北风,3-4级
天津,13日08时,阴,19℃,东北风,3-4级
天津,13日14时,阴,25℃,东南风,<3级
天津,13日20时,阴,20℃,东南风,<3级
天津,14日02时,阴,17℃,东北风,<3级
天津,14日08时,阴,18℃,东北风,<3级
天津,14日14时,小雨,30℃,无持续风向,<3级
天津,14日20时,小雨,25℃,无持续风向,<3级
天津,15日02时,中雨,21℃,无持续风向,<3级
重庆,08日08时,晴,26℃,南风,<3级
重庆,08日11时,多云,30℃,南风,<3级
重庆,08日14时,多云,33℃,南风,<3级
重庆,08日17时,晴,33℃,南风,<3级
重庆,08日20时,多云,29℃,南风,<3级
重庆,08日23时,多云,28℃,东南风,<3级
重庆,09日02时,多云,26℃,东南风,<3级
重庆,09日05时,多云,24℃,东南风,<3级
重庆,09日08时,晴,24℃,东南风,<3级
重庆,09日11时,阴,28℃,东北风,<3级
重庆,09日14时,阴,31℃,东北风,<3级
重庆,09日17时,阴,30℃,东北风,<3级
重庆,09日20时,阴,30℃,东北风,<3级
重庆,09日23时,中雨,29℃,北风,<3级
重庆,10日02时,中雨,27℃,北风,<3级
重庆,10日05时,中雨,26℃,北风,<3级
重庆,10日08时,中雨,25℃,北风,<3级
重庆,10日11时,小雨,26℃,南风,<3级
重庆,10日14时,小雨,26℃,南风,<3级
重庆,10日17时,小雨,26℃,南风,<3级
重庆,10日20时,小雨,25℃,南风,<3级
重庆,10日23时,小雨,24℃,南风,<3级
重庆,11日02时,中雨,24℃,南风,<3级
重庆,11日05时,小雨,24℃,南风,<3级
重庆,11日08时,小雨,24℃,南风,<3级
重庆,11日14时,小雨,24℃,东风,<3级
重庆,11日20时,小雨,24℃,东风,<3级
重庆,12日02时,小雨,23℃,东风,<3级
重庆,12日08时,大雨,23℃,东风,<3级
重庆,12日14时,暴雨,24℃,东北风,<3级
重庆,12日20时,大雨,23℃,东北风,<3级
重庆,13日02时,中雨,22℃,东风,<3级
重庆,13日08时,中雨,21℃,东风,<3级
重庆,13日14时,中雨,22℃,东风,<3级
重庆,13日20时,小雨,21℃,东风,<3级
重庆,14日02时,小雨,21℃,北风,<3级
重庆,14日08时,中雨,20℃,北风,<3级
重庆,14日14时,中雨,22℃,东风,<3级
重庆,14日20时,小雨,21℃,东风,<3级
重庆,15日02时,小雨,21℃,东南风,<3级
哈尔滨,08日08时,大雨,17℃,东北风,5-6级
哈尔滨,08日11时,中雨,17℃,东北风,5-6级
哈尔滨,08日14时,中雨,18℃,东北风,5-6级
哈尔滨,08日17时,中雨,18℃,东北风,4-5级
哈尔滨,08日20时,中雨,18℃,东北风,4-5级
哈尔滨,08日23时,中雨,18℃,东北风,5-6级
哈尔滨,09日02时,小雨,17℃,东北风,5-6级
哈尔滨,09日05时,小雨,16℃,东北风,5-6级
哈尔滨,09日08时,小雨,16℃,东北风,5-6级
哈尔滨,09日11时,阵雨,16℃,东北风,4-5级
哈尔滨,09日14时,阵雨,17℃,东北风,4-5级
哈尔滨,09日17时,阵雨,19℃,东北风,4-5级
哈尔滨,09日20时,阵雨,17℃,东北风,4-5级
哈尔滨,09日23时,阴,16℃,东北风,4-5级
哈尔滨,10日02时,阴,15℃,东北风,4-5级
哈尔滨,10日05时,阴,14℃,东北风,4-5级
哈尔滨,10日08时,阵雨,16℃,东北风,4-5级
哈尔滨,10日11时,多云,17℃,东北风,4-5级
哈尔滨,10日14时,多云,17℃,东北风,4-5级
哈尔滨,10日17时,多云,16℃,东北风,3-4级
哈尔滨,10日20时,晴,14℃,东北风,3-4级
哈尔滨,10日23时,晴,13℃,东北风,3-4级
哈尔滨,11日02时,晴,11℃,东北风,3-4级
哈尔滨,11日05时,晴,11℃,东北风,3-4级
哈尔滨,11日08时,晴,13℃,东北风,3-4级
哈尔滨,11日14时,晴,18℃,东北风,3-4级
哈尔滨,11日20时,晴,13℃,东北风,3-4级
哈尔滨,12日02时,晴,13℃,东风,3-4级
哈尔滨,12日08时,晴,15℃,东风,3-4级
哈尔滨,12日14时,晴,20℃,东风,3-4级
哈尔滨,12日20时,晴,15℃,东风,3-4级
哈尔滨,13日02时,晴,11℃,东风,<3级
哈尔滨,13日08时,晴,14℃,东风,<3级
哈尔滨,13日14时,晴,21℃,东北风,<3级
哈尔滨,13日20时,晴,12℃,东北风,<3级
哈尔滨,14日02时,晴,11℃,东风,<3级
哈尔滨,14日08时,晴,16℃,东风,<3级
哈尔滨,14日14时,晴,21℃,东风,<3级
哈尔滨,14日20时,多云,13℃,东风,<3级
哈尔滨,15日02时,多云,12℃,东风,<3级
长春,08日08时,中雨,16℃,北风,5-6级
长春,08日11时,中雨,15℃,北风,5-6级
长春,08日14时,中雨,16℃,北风,5-6级
长春,08日17时,大雨,15℃,北风,5-6级
长春,08日20时,中雨,15℃,北风,5-6级
长春,08日23时,中雨,15℃,西北风,4-5级
长春,09日02时,中雨,15℃,西北风,4-5级
长春,09日05时,中雨,16℃,西北风,3-4级
长春,09日08时,中雨,16℃,西北风,3-4级
长春,09日11时,雷阵雨,16℃,西北风,4-5级
长春,09日14时,雷阵雨,16℃,西北风,3-4级
长春,09日17时,雷阵雨,16℃,西北风,3-4级
长春,09日20时,雷阵雨,15℃,西北风,3-4级
长春,09日23时,雷阵雨,15℃,西风,<3级
长春,10日02时,雷阵雨,13℃,西风,<3级
长春,10日05时,雷阵雨,13℃,西风,<3级
长春,10日08时,雷阵雨,14℃,西风,3-4级
长春,10日11时,雷阵雨,16℃,西风,<3级
长春,10日14时,雷阵雨,17℃,西风,3-4级
长春,10日17时,阴,16℃,西风,3-4级
长春,10日20时,多云,14℃,西风,3-4级
长春,10日23时,多云,12℃,东北风,<3级
长春,11日02时,多云,11℃,东北风,<3级
长春,11日05时,多云,11℃,东北风,<3级
长春,11日08时,多云,13℃,东北风,<3级
长春,11日14时,多云,19℃,东北风,<3级
长春,11日20时,晴,14℃,东北风,<3级
长春,12日02时,晴,12℃,西南风,<3级
长春,12日08时,晴,13℃,西南风,<3级
长春,12日14时,晴,21℃,西南风,<3级
长春,12日20时,晴,14℃,西南风,<3级
长春,13日02时,晴,12℃,西南风,<3级
长春,13日08时,晴,15℃,西南风,<3级
长春,13日14时,晴,21℃,西南风,<3级
长春,13日20时,多云,14℃,西南风,<3级
长春,14日02时,晴,12℃,西南风,<3级
长春,14日08时,多云,17℃,西南风,<3级
长春,14日14时,晴,22℃,无持续风向,<3级
长春,14日20时,晴,16℃,无持续风向,<3级
长春,15日02时,多云,16℃,无持续风向,<3级
沈阳,08日08时,中雨,17℃,西北风,4-5级
沈阳,08日11时,阵雨,19℃,西北风,4-5级
沈阳,08日14时,阵雨,20℃,西北风,3-4级
沈阳,08日17时,阵雨,20℃,西北风,<3级
沈阳,08日20时,阵雨,18℃,西北风,<3级
沈阳,08日23时,多云,18℃,北风,3-4级
沈阳,09日02时,多云,17℃,北风,3-4级
沈阳,09日05时,多云,16℃,北风,3-4级
沈阳,09日08时,多云,18℃,北风,3-4级
沈阳,09日11时,阵雨,19℃,北风,3-4级
沈阳,09日14时,阵雨,19℃,北风,3-4级
沈阳,09日17时,阵雨,19℃,北风,<3级
沈阳,09日20时,阵雨,16℃,北风,<3级
沈阳,09日23时,阵雨,16℃,北风,<3级
沈阳,10日02时,阵雨,15℃,北风,<3级
沈阳,10日05时,阵雨,15℃,北风,<3级
沈阳,10日08时,阵雨,15℃,北风,<3级
沈阳,10日11时,阵雨,15℃,北风,<3级
沈阳,10日14时,阵雨,18℃,北风,3-4级
沈阳,10日17时,阵雨,17℃,北风,3-4级
沈阳,10日20时,阵雨,16℃,北风,3-4级
沈阳,10日23时,阵雨,15℃,北风,<3级
沈阳,11日02时,阵雨,14℃,北风,<3级
沈阳,11日05时,阵雨,13℃,北风,<3级
沈阳,11日08时,阵雨,14℃,北风,<3级
沈阳,11日14时,晴,20℃,北风,3-4级
沈阳,11日20时,晴,17℃,北风,3-4级
沈阳,12日02时,晴,13℃,北风,<3级
沈阳,12日08时,晴,15℃,北风,<3级
沈阳,12日14时,晴,22℃,北风,<3级
沈阳,12日20时,晴,17℃,北风,<3级
沈阳,13日02时,晴,12℃,北风,<3级
沈阳,13日08时,晴,13℃,北风,<3级
沈阳,13日14时,晴,23℃,北风,<3级
沈阳,13日20时,晴,18℃,北风,<3级
沈阳,14日02时,晴,14℃,北风,<3级
沈阳,14日08时,晴,16℃,北风,<3级
沈阳,14日14时,晴,23℃,无持续风向,<3级
沈阳,14日20时,晴,16℃,无持续风向,<3级
沈阳,15日02时,多云,11℃,无持续风向,<3级
呼和浩特,08日08时,晴,17℃,北风,<3级
呼和浩特,08日11时,晴,23℃,北风,<3级
呼和浩特,08日14时,多云,24℃,北风,<3级
呼和浩特,08日17时,多云,24℃,北风,<3级
呼和浩特,08日20时,晴,16℃,北风,<3级
呼和浩特,08日23时,晴,15℃,北风,<3级
呼和浩特,09日02时,晴,12℃,北风,<3级
呼和浩特,09日05时,晴,11℃,北风,<3级
呼和浩特,09日08时,晴,14℃,北风,<3级
呼和浩特,09日11时,晴,19℃,北风,<3级
呼和浩特,09日14时,晴,22℃,北风,<3级
呼和浩特,09日17时,晴,22℃,北风,<3级
呼和浩特,09日20时,晴,17℃,北风,<3级
呼和浩特,09日23时,晴,15℃,北风,<3级
呼和浩特,10日02时,晴,13℃,北风,<3级
呼和浩特,10日05时,晴,11℃,北风,<3级
呼和浩特,10日08时,晴,14℃,北风,<3级
呼和浩特,10日11时,晴,20℃,东北风,<3级
呼和浩特,10日14时,晴,23℃,东北风,<3级
呼和浩特,10日17时,晴,23℃,东北风,<3级
呼和浩特,10日20时,晴,18℃,东北风,<3级
呼和浩特,10日23时,晴,14℃,东北风,<3级
呼和浩特,11日02时,晴,12℃,东北风,<3级
呼和浩特,11日05时,晴,11℃,东北风,<3级
呼和浩特,11日08时,晴,13℃,东北风,<3级
呼和浩特,11日14时,晴,22℃,东风,<3级
呼和浩特,11日20时,晴,19℃,东风,<3级
呼和浩特,12日02时,晴,13℃,东风,<3级
呼和浩特,12日08时,晴,14℃,东风,<3级
呼和浩特,12日14时,晴,22℃,西南风,<3级
呼和浩特,12日20时,晴,18℃,西南风,<3级
呼和浩特,13日02时,多云,14℃,西南风,<3级
呼和浩特,13日08时,多云,15℃,西南风,<3级
呼和浩特,13日14时,阴,20℃,南风,<3级
呼和浩特,13日20时,阴,16℃,南风,<3级
呼和浩特,14日02时,阴,11℃,南风,<3级
呼和浩特,14日08时,阴,13℃,南风,<3级
呼和浩特,14日14时,中雨,15℃,无持续风向,<3级
呼和浩特,14日20时,中雨,12℃,无持续风向,<3级
呼和浩特,15日02时,中雨,11℃,无持续风向,<3级
石家庄,08日08时,晴,23℃,西南风,<3级
石家庄,08日11时,晴,31℃,西南风,<3级
石家庄,08日14时,晴,31℃,西南风,<3级
石家庄,08日17时,多云,31℃,西南风,<3级
石家庄,08日20时,多云,25℃,西南风,<3级
石家庄,08日23时,晴,22℃,西风,<3级
石家庄,09日02时,多云,21℃,西风,<3级
石家庄,09日05时,晴,20℃,西风,<3级
石家庄,09日08时,晴,24℃,西风,<3级
石家庄,09日11时,多云,29℃,北风,<3级
石家庄,09日14时,多云,30℃,北风,<3级
石家庄,09日17时,晴,30℃,北风,<3级
石家庄,09日20时,晴,25℃,北风,<3级
石家庄,09日23时,晴,23℃,西风,<3级
石家庄,10日02时,晴,20℃,西风,<3级
石家庄,10日05时,晴,20℃,西风,<3级
石家庄,10日08时,晴,22℃,西风,<3级
石家庄,10日11时,晴,27℃,东风,<3级
石家庄,10日14时,晴,28℃,东风,<3级
石家庄,10日17时,晴,27℃,东风,<3级
石家庄,10日20时,晴,23℃,东风,<3级
石家庄,10日23时,晴,20℃,西风,<3级
石家庄,11日02时,晴,19℃,西风,<3级
石家庄,11日05时,晴,18℃,西风,<3级
石家庄,11日08时,晴,21℃,西风,<3级
石家庄,11日14时,多云,27℃,北风,3-4级
石家庄,11日20时,晴,23℃,北风,<3级
石家庄,12日02时,多云,19℃,北风,<3级
石家庄,12日08时,晴,21℃,北风,<3级
石家庄,12日14时,多云,26℃,北风,3-4级
石家庄,12日20时,多云,22℃,北风,<3级
石家庄,13日02时,多云,19℃,北风,<3级
石家庄,13日08时,多云,20℃,北风,<3级
石家庄,13日14时,多云,26℃,北风,3-4级
石家庄,13日20时,多云,22℃,北风,<3级
石家庄,14日02时,多云,19℃,北风,<3级
石家庄,14日08时,多云,21℃,北风,<3级
石家庄,14日14时,小雨,25℃,无持续风向,<3级
石家庄,14日20时,小雨,22℃,无持续风向,<3级
石家庄,15日02时,小雨,18℃,无持续风向,<3级
太原,08日08时,晴,17℃,西北风,<3级
太原,08日11时,晴,26℃,西北风,<3级
太原,08日14时,晴,28℃,西北风,<3级
太原,08日17时,晴,26℃,西北风,<3级
太原,08日20时,晴,20℃,西北风,<3级
太原,08日23时,多云,14℃,北风,<3级
太原,09日02时,多云,14℃,北风,<3级
太原,09日05时,多云,12℃,北风,<3级
太原,09日08时,多云,15℃,北风,<3级
太原,09日11时,多云,24℃,东北风,<3级
太原,09日14时,晴,26℃,东北风,<3级
太原,09日17时,晴,27℃,东北风,<3级
太原,09日20时,晴,20℃,东北风,<3级
太原,09日23时,晴,16℃,东北风,<3级
太原,10日02时,晴,13℃,东北风,<3级
太原,10日05时,晴,11℃,东北风,<3级
太原,10日08时,晴,15℃,东北风,<3级
太原,10日11时,晴,21℃,东北风,<3级
太原,10日14时,晴,24℃,东北风,<3级
太原,10日17时,晴,25℃,东北风,<3级
太原,10日20时,晴,15℃,东北风,<3级
太原,10日23时,晴,12℃,东北风,<3级
太原,11日02时,晴,10℃,东北风,<3级
太原,11日05时,晴,9℃,东北风,<3级
太原,11日08时,晴,11℃,东北风,<3级
太原,11日14时,多云,24℃,东南风,<3级
太原,11日20时,多云,17℃,东南风,<3级
太原,12日02时,晴,10℃,东北风,<3级
太原,12日08时,晴,12℃,东北风,<3级
太原,12日14时,多云,27℃,东南风,<3级
太原,12日20时,多云,18℃,东南风,<3级
太原,13日02时,多云,13℃,东风,<3级
太原,13日08时,多云,12℃,东风,<3级
太原,13日14时,小雨,28℃,东风,<3级
太原,13日20时,多云,21℃,东风,<3级
太原,14日02时,小雨,13℃,东风,<3级
太原,14日08时,小雨,15℃,东风,<3级
太原,14日14时,小雨,24℃,东风,<3级
太原,14日20时,小雨,18℃,东风,<3级
太原,15日02时,中雨,13℃,东风,<3级
西安,08日08时,多云,22℃,东北风,<3级
西安,08日11时,晴,31℃,东北风,<3级
西安,08日14时,晴,34℃,东北风,3-4级
西安,08日17时,晴,34℃,东北风,3-4级
西安,08日20时,晴,27℃,东北风,<3级
西安,08日23时,多云,24℃,东北风,<3级
西安,09日02时,多云,22℃,东北风,<3级
西安,09日05时,多云,21℃,东北风,<3级
西安,09日08时,多云,21℃,东北风,<3级
西安,09日11时,多云,27℃,北风,<3级
西安,09日14时,多云,28℃,北风,<3级
西安,09日17时,多云,28℃,北风,<3级
西安,09日20时,多云,23℃,北风,<3级
西安,09日23时,阴,22℃,西南风,<3级
西安,10日02时,阴,21℃,西南风,<3级
西安,10日05时,阴,20℃,西南风,<3级
西安,10日08时,阴,20℃,西南风,<3级
西安,10日11时,晴,27℃,东北风,<3级
西安,10日14时,晴,29℃,东北风,<3级
西安,10日17时,晴,29℃,东北风,<3级
西安,10日20时,晴,24℃,东北风,<3级
